Name,Pre-Covid,Post-Covid
James Harden,4.11,3.42
Damian Lillard,1.14,-2.08
Giannis Antetokounmpo,11.37,4.07
Luka Doncic,4.83,-3.54
Russel Westbrook,2.66,-4.58
Kawhi Leonard,7.8,5.52
Devin Booker,0.71,10.75
Anthony Davis,5.18,5
Lebron James,8.05,4.39
Donovan Mitchell,1.48,4.46
Brandon Ingram,0,-7.33
Jayson Tatum,7.46,6.38
Pascal Siakam,6.79,3.72
CJ McCollum,0.44,-5.46
Demar DeRozan,-2.33,3.43
DeAaron Fox,-1.78,-6.83
Khris Middleton,8.96,3.88
Kemba Walker,4.82,3.65
Kristaps Porzingis,5.8,-3.89
Jaylen Brown,3.86,3.46
Jimmy Butler,4.17,3.36
Nikola Jokic,3.78,-0.19
TJ Warren,0.93,3.7
Tobias Harris,2.05,-0.36
Nikola Vucevic,0.09,-0.08
Kyle Lowry,4.85,3.94
Jrue Holiday,0.71,0.67
Shai Gilgeous-Alexander,2.37,-1.5
Jamal Murray,4.49,0.17
Lou Williams,3.55,2.67
Ja Morant,-0.14,-1.13
Chris Paul,4.71,-0.21
Ben Simmons,1.46,-5.67
Bam Adebayo,3.18,3.77
Rudy Gobert,4.35,3.77
